TEAM_ID,TEAM_NAME,SEASON,Conference,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
1610612737,Atlanta Hawks,1996-97,East,10,4,6,0.4,240.0,30.9,70.8,0.4364406779661017,6.9,21.9,0.3150684931506849,20.3,26.1,0.7777777777777778,11.0,29.0,40.0,15.4,15.7,4.5,4.3,19.9,89.0,-2.9
1610612766,Charlotte Hornets,1996-97,East,3,0,3,0.0,240.0,36.333333333333336,80.33333333333333,0.45228215767634855,6.333333333333333,17.0,0.37254901960784315,16.666666666666668,20.666666666666668,0.8064516129032258,12.666666666666666,24.333333333333332,37.0,18.333333333333332,12.666666666666666,6.666666666666667,3.0,21.0,95.66666666666667,-8.666666666666666
1610612741,Chicago Bulls,1996-97,East,19,15,4,0.7894736842105263,240.0,34.68421052631579,80.21052631578948,0.43241469816272965,6.105263157894737,19.157894736842106,0.31868131868131866,17.05263157894737,23.210526315789473,0.7346938775510204,14.894736842105264,28.57894736842105,43.473684210526315,20.68421052631579,12.421052631578947,8.526315789473685,4.842105263157895,24.263157894736842,92.52631578947368,5.526315789473684
1610612765,Detroit Pistons,1996-97,East,5,2,3,0.4,240.0,32.4,74.8,0.43315508021390375,5.6,17.0,0.32941176470588235,15.2,19.8,0.7676767676767676,8.6,23.2,31.8,13.6,9.2,7.0,2.4,20.2,85.6,-2.0
1610612745,Houston Rockets,1996-97,West,16,9,7,0.5625,241.5625,35.3125,77.0625,0.4582319545823195,8.875,24.5,0.3622448979591837,21.8125,28.4375,0.7670329670329671,12.25,29.25,41.5,23.125,14.8125,7.6875,4.375,21.875,101.3125,1.8125
1610612746,Los Angeles Clippers,1996-97,West,3,0,3,0.0,240.0,32.666666666666664,75.0,0.43555555555555553,6.0,18.0,0.3333333333333333,21.0,28.666666666666668,0.7325581395348837,10.333333333333334,23.0,33.333333333333336,16.333333333333332,11.333333333333334,6.333333333333333,4.333333333333333,29.0,92.33333333333333,-12.666666666666666
1610612747,Los Angeles Lakers,1996-97,West,9,4,5,0.4444444444444444,242.77777777777777,32.22222222222222,72.11111111111111,0.44684129429892144,4.888888888888889,15.222222222222221,0.32116788321167883,25.88888888888889,35.0,0.7396825396825397,11.222222222222221,27.666666666666668,38.888888888888886,20.555555555555557,13.0,6.777777777777778,6.111111111111111,26.77777777777778,95.22222222222223,1.1111111111111112
1610612748,Miami Heat,1996-97,East,17,8,9,0.47058823529411764,240.0,29.529411764705884,72.11764705882354,0.4094616639477977,8.352941176470589,23.823529411764707,0.3506172839506173,18.529411764705884,26.764705882352942,0.6923076923076923,11.117647058823529,30.176470588235293,41.294117647058826,17.176470588235293,15.705882352941176,6.705882352941177,5.117647058823529,22.58823529411765,85.94117647058823,0.23529411764705882
1610612750,Minnesota Timberwolves,1996-97,West,3,0,3,0.0,240.0,40.0,88.66666666666667,0.45112781954887216,6.333333333333333,16.666666666666668,0.38,13.333333333333334,18.0,0.7407407407407407,14.0,24.666666666666668,38.666666666666664,24.0,8.666666666666666,7.666666666666667,4.0,23.333333333333332,99.66666666666667,-11.333333333333334
1610612752,New York Knicks,1996-97,East,10,6,4,0.6,240.0,34.3,73.5,0.4666666666666667,5.5,14.8,0.3716216216216216,17.1,22.2,0.7702702702702703,9.7,29.8,39.5,21.1,15.3,8.6,3.5,23.4,91.2,1.7
